superrole,superlab,count,direct acting assertions,background,blanket inclusion?,confident?,notes,single acting,drug,agent,ec,metabolite,modulator,food,subclass of drug,agonist,inhibitor,blocker,solvent
http://purl.obolibrary.org/obo/CHEBI_138015,endocrine disruptor,1,0,21,FALSE,8,,TRUE,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_139492,sensitiser,4,4,17,FALSE,9,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_139512,EC 1.3.1.9 [enoyl-[acyl-carrier-protein] reductase (NADH)] inhibitor,1,1,1,FALSE,9,,TRUE,FALSE,FALSE,TRUE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,TRUE,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_140489,tropomyosin-related kinase B receptor agonist,1,1,4,FALSE,9,,TRUE,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,TRUE,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_140535,TRPV1 agonist,1,1,4,FALSE,9,,TRUE,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,TRUE,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_140921,Hedgehog signaling pathway inhibitor,1,1,6,FALSE,9,,TRUE,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,TRUE,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_146223,ryanodine receptor antagonist,1,1,1,FALSE,9,,TRUE,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,TRUE,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_15339,acceptor,4,0,15,FALSE,9,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_17891,donor,6,0,65,FALSE,9,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_21241,vitamin C,1,1,3,FALSE,9,,TRUE,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_22153,acaricide,4,1,118,FALSE,9,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_22587,antiviral agent,17,4,370,FALSE,9,,,FALSE,TRUE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_22695,base,1,0,9,FALSE,9,,TRUE,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_22917,phytogenic insecticide,1,1,8,FALSE,9,,TRUE,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_22986,calcium ionophore,1,1,3,FALSE,9,,TRUE,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_23240,chromophore,1,1,10,FALSE,9,,TRUE,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_23924,enzyme inhibitor,159,0,2212,FALSE,9,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,TRUE,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_24028,iron(3+) chelator,1,0,41,FALSE,9,,TRUE,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_24127,fungicide,6,3,285,FALSE,8,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_24432,biological role,800,0,20455,FALSE,9,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_24850,insect attractant,1,1,14,FALSE,9,,TRUE,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_24852,insecticide,5,1,230,FALSE,9,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_24853,intercalator,2,2,15,FALSE,8,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_24874,iron ionophore,1,0,40,FALSE,9,,TRUE,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_25212,metabolite,326,30,15044,FALSE,9,,,FALSE,FALSE,FALSE,TRUE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_25355,mitochondrial respiratory-chain inhibitor,1,1,57,FALSE,9,,TRUE,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,TRUE,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_25512,neurotransmitter,7,7,21,FALSE,8,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_25943,pesticide synergist,1,1,1,FALSE,9,,TRUE,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_25944,pesticide,16,0,953,FALSE,9,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_26130,biological pigment,3,3,34,FALSE,9,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_26155,plant growth regulator,2,0,116,FALSE,9,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_26348,prosthetic group,1,1,15,FALSE,9,,TRUE,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_26413,pyrethroid insecticide,1,0,43,FALSE,9,,TRUE,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_26672,siderophore,1,1,38,FALSE,9,,TRUE,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_27027,micronutrient,31,13,70,FALSE,9,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_27311,volatile oil component,1,1,99,FALSE,9,,TRUE,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_27780,detergent,1,1,14,FALSE,9,,TRUE,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_33231,antitubercular agent,6,6,45,FALSE,8,,,FALSE,TRUE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_33232,application,648,0,7120,FALSE,9,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_33281,antimicrobial agent,119,24,2089,FALSE,9,"no, just drugs?",,FALSE,TRUE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_33282,antibacterial agent,69,15,678,FALSE,9,,,FALSE,TRUE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_33284,nutrient,39,4,83,FALSE,9,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_33286,agrochemical,13,3,554,FALSE,9,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_33287,fertilizer,6,6,17,FALSE,9,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_33288,rodenticide,3,3,11,FALSE,9,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_33295,diagnostic agent,7,6,82,FALSE,9,,,FALSE,TRUE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_33893,reagent,3,1,79,FALSE,9,,,FALSE,TRUE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_33937,macronutrient,5,5,9,FALSE,9,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35204,tracer,1,0,6,FALSE,9,,TRUE,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35208,physical tracer,1,1,1,FALSE,9,,TRUE,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35219,plant growth retardant,1,1,22,FALSE,9,,TRUE,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35222,inhibitor,163,0,2396,FALSE,9,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,TRUE,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35223,catalyst,1,0,16,FALSE,9,,TRUE,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35337,central nervous system stimulant,6,6,25,FALSE,8,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35441,antiinfective agent,101,15,843,FALSE,8,,,FALSE,TRUE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35442,antiparasitic agent,24,4,361,FALSE,8,,,FALSE,TRUE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35443,anthelminthic drug,6,3,59,FALSE,8,subclassof* drug?,,TRUE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35444,antinematodal drug,4,4,24,FALSE,8,subclassof* drug?,,TRUE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35457,EC 3.4.15.1 (peptidyl-dipeptidase A) inhibitor,9,9,39,FALSE,8,,,FALSE,FALSE,TRUE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,TRUE,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35469,antidepressant,26,26,103,FALSE,8,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35470,central nervous system drug,100,4,395,FALSE,8,subclassof* drug?,,TRUE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35471,psychotropic drug,61,6,246,FALSE,8,subclassof* drug?,,TRUE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35472,anti-inflammatory drug,45,22,217,FALSE,8,subclassof* drug?,,TRUE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35473,tranquilizing drug,38,1,136,FALSE,8,subclassof* drug?,,TRUE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35474,anxiolytic drug,16,16,55,FALSE,8,subclassof* drug?,,TRUE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35475,non-steroidal anti-inflammatory drug,23,23,159,FALSE,8,subclassof* drug?,,TRUE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35476,antipsychotic agent,17,2,77,FALSE,8,,,FALSE,TRUE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35477,antimanic drug,4,4,7,FALSE,8,subclassof* drug?,,TRUE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35480,analgesic,54,19,212,FALSE,8,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35481,non-narcotic analgesic,25,25,115,FALSE,8,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35482,opioid analgesic,15,15,56,FALSE,8,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35487,EC 1.2.1.3 [aldehyde dehydrogenase (NAD(+))] inhibitor,1,1,7,FALSE,9,,TRUE,FALSE,FALSE,TRUE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,TRUE,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35488,central nervous system depressant,72,11,264,FALSE,8,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35493,antipyretic,11,11,58,FALSE,8,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35497,androgen antagonist,3,3,19,FALSE,8,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,TRUE,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35498,diuretic,12,9,35,FALSE,8,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35523,bronchodilator agent,14,14,63,FALSE,8,,,FALSE,TRUE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35524,sympathomimetic agent,19,19,43,FALSE,8,,,FALSE,TRUE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35526,hypoglycemic agent,11,9,99,FALSE,8,,,FALSE,TRUE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35554,cardiovascular drug,105,7,397,FALSE,8,subclassof* drug?,,TRUE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35610,antineoplastic agent,76,76,1589,FALSE,8,,,FALSE,TRUE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35617,flavouring agent,9,4,101,FALSE,9,,,FALSE,TRUE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35620,vasodilator agent,35,35,132,FALSE,8,,,FALSE,TRUE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35623,anticonvulsant,23,23,84,FALSE,8,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35625,EC 3.5.2.6 (beta-lactamase) inhibitor,1,1,12,FALSE,9,,TRUE,FALSE,FALSE,TRUE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,TRUE,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35634,EC 1.17.3.2 (xanthine oxidase) inhibitor,1,1,9,FALSE,9,,TRUE,FALSE,FALSE,TRUE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,TRUE,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35640,adrenergic uptake inhibitor,13,13,28,FALSE,8,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,TRUE,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35674,antihypertensive agent,48,45,183,FALSE,8,,,FALSE,TRUE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35679,antilipemic drug,10,7,48,FALSE,8,subclassof* drug?,,TRUE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35703,xenobiotic,85,85,360,FALSE,9,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35705,immunosuppressive agent,18,18,65,FALSE,8,,,FALSE,TRUE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35717,sedative,19,19,72,FALSE,8,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35718,antifungal agent,13,5,626,FALSE,9,,,FALSE,TRUE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35816,leprostatic drug,3,3,8,FALSE,8,subclassof* drug?,,TRUE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35818,coccidiostat,1,1,6,FALSE,8,,TRUE,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35820,antiprotozoal drug,18,7,297,FALSE,8,subclassof* drug?,,TRUE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35821,anticholesteremic drug,5,5,24,FALSE,8,subclassof* drug?,,TRUE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35841,uricosuric drug,1,1,6,FALSE,8,subclassof* drug?,TRUE,TRUE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35842,antirheumatic drug,30,7,186,FALSE,8,subclassof* drug?,,TRUE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35845,gout suppressant,4,3,11,FALSE,8,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35846,renal agent,2,1,10,FALSE,8,,,FALSE,TRUE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_35942,neurotransmitter agent,173,0,750,FALSE,8,,,FALSE,TRUE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_36043,antimicrobial drug,81,1,671,FALSE,8,subclassof* drug?,,TRUE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_36044,antiviral drug,13,13,105,FALSE,8,subclassof* drug?,,TRUE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_36047,antibacterial drug,57,50,307,FALSE,8,subclassof* drug?,,TRUE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
http://purl.obolibrary.org/obo/CHEBI_36063,oxytocic,3,3,10,FALSE,8,,,FALSE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!
