"PK_MEDICATION_ID","SIMPLE_GENERIC_NAME","GENERIC_NAME","THERAPEUTIC_CLASS","PHARMACY_CLASS","PHARMACY_SUBCLASS","AMOUNT","FORM","FK_ROUTE_ID","CONTROLLED_MED_YN","DEA_CLASS","RECORD_STATE","SOURCE_LAST_UPDATE_DATE","SOURCE_CODE","FULL_NAME","SOURCE_ORIG_ID","FK_3M_NCID_ID","MEDICATION_COUNT"
35303,"Nystatin","Nystatin Cream 100000 Unit/GM","Topical Products","Dermatological","Antifungals - Topical","100000 UNIT/GM","Cream",8429,0,NA,"Deleted",NA,"EPIC","MYCOSTATIN 100000 UNIT/GM EX CREA","14152",15150694,92
35305,"Nystatin","Nystatin Susp 100000 Unit/ML","Topical Products","Mouth & throat (local)","Anti-infectives - Throat","100000 UNIT/ML","Suspension",8436,0,NA,"Deleted",NA,"EPIC","MYCOSTATIN 100000 UNIT/ML MT SUSP","14155",15150695,86
35307,"Nystatin","Nystatin Vaginal Tab 100000 Unit","Genitourinary Products","Vaginal products","Vaginal Anti-infectives","100000 U","Tab",8450,0,NA,"Deleted",NA,"EPIC","MYCOSTATIN VAGINAL TABS 100000 U VA","14158",3000264265,5
36167,"Nystatin","Nystatin Tab 500000 Unit","Anti-Infective Agents","Antifungals","Antifungals","500000 UNIT","Tab",8437,0,NA,"Deleted",NA,"EPIC","MYCOSTATIN 500000 UNIT OR TABS","14156",3000266700,3
2132083,NA,NA,NA,"Antineoplastics",NA,NA,NA,NA,NA,NA,"Deleted",NA,"EPIC","PENTOSTATIN (NIPENT) IVPB 50ML NSS (10MG VIAL) (DELETED)","900935",15586035,21
31895,"Lovastatin","Lovastatin Tab 10 MG","Cardiovascular Agents","Antihyperlipidemic","HMG CoA Reductase Inhibitors","10 MG","Tab",8437,0,NA,"Deleted",NA,"EPIC","MEVACOR 10 MG PO TABS","13468",3000271631,122
2128112,NA,NA,"Miscellaneous Products","Mouth & throat (local)","Misc. Topical",NA,NA,8437,NA,NA,NA,NA,"EPIC","PRESBY SWIZZLE: CARAFATE XYLOCAINE NYSTATIN BENADRYL MAALOX","100142",NA,242
33793,"Lovastatin","Lovastatin Tab 40 MG","Cardiovascular Agents","Antihyperlipidemic","HMG CoA Reductase Inhibitors","40 MG","Tab",8437,0,NA,NA,NA,"EPIC","MEVACOR 40 MG PO TABS","13470",3000263752,691
42641,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2010-08-16 13:44:32,"SCM",".Niacin Tablet SR","4437073001",15464209,820
42643,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2011-11-14 15:14:00,"SCM",".Nystatin Powder","4443073001",15451655,12
42662,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2014-02-21 21:45:14,"SCM",".Rosuvastatin Tablet","4500073001",15596408,2338
43540,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2010-07-28 15:23:11,"SCM",".Rosuvastatin Tablet 5 mg","1000003217073001",15573240,367
43602,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2010-07-28 14:25:06,"SCM",".Nystatin Vaginal Tablet 100,000 units","1000003559073001",3000264265,57
44225,"Atorvastatin Calcium","Atorvastatin Calcium Tab 40 MG (Base Equivalent)","Cardiovascular Agents","Antihyperlipidemic","HMG CoA Reductase Inhibitors","40 MG","Tab",8437,0,NA,NA,NA,"EPIC","LIPITOR 40 MG PO TABS","17161",3000284910,18148
43939,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2010-07-28 13:24:30,"SCM",".Ezetimibe-Simvastatin Tablet 10-10 mg","1000005081073001",3000561665,148
44522,"Pravastatin Sodium","Pravastatin Sodium Tab 10 MG","Cardiovascular Agents","Antihyperlipidemic","HMG CoA Reductase Inhibitors","10 MG","Tab",8437,0,NA,"Deleted",NA,"EPIC","PRAVACHOL 10 MG PO TABS","17461",3000271685,1957
43214,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2010-07-28 14:23:44,"SCM",".Nystatin Crm 100,000 units/gm","1000001884073001",15150694,1780
43247,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2010-07-28 15:49:37,"SCM",".Simvastatin Tablet 40 mg","1000001983073001",3000271894,7562
42403,"Misc Nat HMG CoA Reduct Inhib","Misc Natural HMG CoA Reductase Inhibitors - Cap","Cardiovascular Agents","Antihyperlipidemic","HMG CoA Reductase Inhibitors","600 MG","Cap",8437,0,NA,NA,NA,"EPIC","CHOLESTIN 600 MG PO CAPS","16474",223669,12
5021058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-05-09 00:15:00,"SCM","Pravastatin sodium 20 mg or tabs, 1 tablet at bedtime (home med)","--PRAVASTATIN SODIUM 20 MG OR TABS, 1 TABLET AT BEDTIME (HOME MED)",NA,4
40033,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2010-07-28 14:23:37,"SCM",".Nystatin Crm  (*neo) 100,000 units/gm","1884073001",15150694,131
40132,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2010-07-28 15:49:27,"SCM",".Simvastatin Tablet 20 mg","1983073001",3000271893,5385
38990,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2010-07-28 14:25:22,"SCM",".Nystatin/Triamcinolone Crm 15 gm","1885073001",15167556,58
39400,"Nystatin","Nystatin (Bulk) Powder","Topical Products","Dermatological","Antifungals - Topical","6.25 MU/GM","Powder",8446,0,NA,"Deleted",NA,"EPIC","NYSTATIN POWD 6.25 MU/GM","15388",16531672,9
39406,"Nystatin-Triamcinolone","Nystatin-Triamcinolone Oint 100000-0.1 Unit/GM-%","Topical Products","Dermatological","Antifungals - Topical","100000-0.1 UNIT/GM-%","Ointment",8429,0,NA,NA,NA,"EPIC","NYSTATIN-TRIAMCINOLONE 100000-0.1 UNIT/GM-% EX OINT","15394",16434056,4349
38464,"Nystatin-Triamcinolone","Nystatin-Triamcinolone Cream 100000-0.1 Unit/GM-%","Topical Products","Dermatological","Antifungals - Topical","100000-0.1 UNIT/GM-%","Cream",8429,0,NA,NA,NA,"EPIC","NYSTATIN-TRIAMCINOLONE 100000-0.1 UNIT/GM-% EX CREA","15393",16434055,9871
37319,"Nystatin","Nystatin Susp 100000 Unit/ML","Topical Products","Mouth & throat (local)","Anti-infectives - Throat","100000 UNIT/ML","Suspension",8436,0,NA,NA,NA,"EPIC","NYSTATIN 100000 UNIT/ML MOUTH/THROAT SUSP","15383",16402332,21178
37321,"Nystatin","Nystatin Tab 500000 Unit","Anti-Infective Agents","Antifungals","Antifungals","500000 units","Tab",8437,0,NA,NA,NA,"EPIC","NYSTATIN 500000 UNITS PO TABS","15386",3000266700,196
37323,"Nystatin","Nystatin Vaginal Tab 100000 Unit","Genitourinary Products","Vaginal products","Vaginal Anti-infectives","100000 units","Tab",8450,0,NA,"Deleted",NA,"EPIC","NYSTATIN 100000 UNITS VAGINAL TABS","15389",3000264265,157
38455,"Nystatin",NA,"Topical Products","Mouth & throat (local)","Anti-infectives - Throat","100000 U/ML","Recon Susp",8436,0,NA,"Deleted",NA,"EPIC","NYSTATIN SUSR 100000 U/ML MT","15384",3000276834,47
38458,"Nystatin","Nystatin (Bulk) Powder","Topical Products","Dermatological","Antifungals - Topical","6 MU/GM","Powder",8446,0,NA,"Deleted",NA,"EPIC","NYSTATIN POWD 6 MU/GM","15387",16531679,10
2134305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-03-07 00:15:00,"SCM","Advicor","--ADVICOR",NA,4
50690,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2010-07-27 19:13:32,"SCM","..Nystatin Powder","1000004870073001",15451655,728
50772,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2010-07-28 07:08:17,"SCM",".Amlodipine Tablet.","1000005160073001",15589351,4493
51619,"Octreotide Acetate","Octreotide Acetate Inj 100 MCG/ML (0.1 MG/ML)","Endocrine & Metabolic Drugs","Misc. endocrine","Somatostatic Agents","100 MCG/ML","Solution",8431,0,NA,NA,NA,"EPIC","SANDOSTATIN 100 MCG/ML INJECTION SOLN","19000",15155828,28
51621,"Octreotide Acetate","Octreotide Acetate Inj 1000 MCG/ML (1 MG/ML)","Endocrine & Metabolic Drugs","Misc. endocrine","Somatostatic Agents","1000 MCG/ML","Solution",8431,0,NA,NA,NA,"EPIC","SANDOSTATIN 1000 MCG/ML INJECTION SOLN","19003",15160488,14
50035,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2010-07-28 07:50:50,"SCM",".Atorvastatin Tablet 80 mg","1000003363073001",15571539,3402
50055,"Octreotide Acetate","Octreotide Acetate Inj 50 MCG/ML (0.05 MG/ML)","Endocrine & Metabolic Drugs","Misc. endocrine","Somatostatic Agents","50 MCG/ML","Solution",8431,0,NA,NA,NA,"EPIC","SANDOSTATIN 50 MCG/ML INJECTION SOLN","18999",15155827,31
50058,"Octreotide Acetate","Octreotide Acetate Inj 500 MCG/ML (0.5 MG/ML)","Endocrine & Metabolic Drugs","Misc. endocrine","Somatostatic Agents","500 MCG/ML","Solution",8431,0,NA,NA,NA,"EPIC","SANDOSTATIN 500 MCG/ML INJECTION SOLN","19002",15155830,10
2133583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-06-20 15:54:07,"SCM","atorv","--ATORV",NA,3
2133585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-01-05 00:15:01,"SCM","atorvastatin 40mg every evening at bedtime","--ATORVASTATIN 40MG EVERY EVENING AT BEDTIME",NA,2
2134590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-10-16 00:15:03,"SCM","Atorvastatin 20mg daily at bedtime","--ATORVASTATIN 20MG DAILY AT BEDTIME",NA,2
2134592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008-05-05 00:15:01,"SCM","Atorvastatin Tablet 20 mg","--ATORVASTATIN TABLET 20 MG",15571541,3
49877,"Octreotide Acetate","Octreotide Acetate Inj 200 MCG/ML (0.2 MG/ML)","Endocrine & Metabolic Drugs","Misc. endocrine","Somatostatic Agents","200 MCG/ML","Solution",8431,0,NA,NA,NA,"EPIC","SANDOSTATIN 200 MCG/ML INJECTION SOLN","19001",15155829,13
50473,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2014-02-21 21:45:14,"SCM",".Imipenem-Cilastatin Inj","1000004391073001",15585818,178
48383,"Atorvastatin Calcium","Atorvastatin Calcium Tab 40 MG (Base Equivalent)","Cardiovascular Agents","Antihyperlipidemic","HMG CoA Reductase Inhibitors","40 mg","Tab",8437,0,NA,NA,NA,"EPIC","ATORVASTATIN CALCIUM 40 MG PO TABS","17766",3000284910,62996
2129588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-05-02 00:15:00,"SCM","atorvastatin 20 mg","--ATORVASTATIN 20 MG",NA,4
2129590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-14 10:54:19,"SCM","atorvastatin 80mg","--ATORVASTATIN 80MG",15571539,3
2130578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-12-05 00:15:03,"SCM","atorvastatin 20 mg oral tablet (home med)","--ATORVASTATIN 20 MG ORAL TABLET (HOME MED)",NA,3
2127595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-02-13 17:16:24,"SCM","Ator","--ATOR",NA,5
2127596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-12 09:06:46,"SCM","atorvastatin 20 mg oral tablet","--ATORVASTATIN 20 MG ORAL TABLET",15571541,188
44982,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2010-07-28 14:25:31,"SCM",".Nystatin/Triamcinolone Crm 30 gm","1000001885073001",15167556,47
2129714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-06-21 12:46:00,"SCM","caduet","--CADUET",15270968,10
48154,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2010-08-16 13:48:29,"SCM",".Nystatin Oral Tablet","1000004443073001",15454778,9
2128759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-02-16 00:15:00,"SCM","atorvast","--ATORVAST",NA,3
2131586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-06-14 00:15:00,"SCM","atorvastatin 80 mg","--ATORVASTATIN 80 MG",NA,3
45961,"Nystatin",NA,"Topical Products","Mouth & throat (local)","Anti-infectives - Throat","200000 UNIT","Lozenge",8436,0,NA,"Deleted",NA,"EPIC","NYSTATIN 200000 UNIT MT LOZG","17432",15470050,7
45981,"Pravastatin Sodium","Pravastatin Sodium Tab 20 MG","Cardiovascular Agents","Antihyperlipidemic","HMG CoA Reductase Inhibitors","20 MG","Tab",8437,0,NA,NA,NA,"EPIC","PRAVACHOL 20 MG PO TABS","17462",3000271686,5232
2132582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-06-22 00:15:00,"SCM","atorvastatin 10 mg oral tablet","--ATORVASTATIN 10 MG ORAL TABLET",NA,131
46746,"Nystatin",NA,"Topical Products","Mouth & throat (local)","Anti-infectives - Throat",NA,"Recon Susp",8436,0,NA,"Deleted",NA,"EPIC","NYSTATIN SUSR   MT","17433",16531727,19
46756,"Pravastatin Sodium","Pravastatin Sodium Tab 40 MG","Cardiovascular Agents","Antihyperlipidemic","HMG CoA Reductase Inhibitors","40 MG","Tab",8437,0,NA,NA,NA,"EPIC","PRAVACHOL 40 MG PO TABS","17463",3000275806,5711
2134765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-05 11:40:02,"SCM","atorvastatin 40 mg oral tablet","--ATORVASTATIN 40 MG ORAL TABLET",NA,218
2127770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-11-06 19:49:45,"SCM","atorvastatin","--ATORVASTATIN",NA,46
2133758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-02-24 21:50:17,"SCM","atorvastatin 10mg every evening at bedtime","--ATORVASTATIN 10MG EVERY EVENING AT BEDTIME",NA,5
2129763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-08-01 00:15:00,"SCM","atorvastatin 20mg at bedtime daily","--ATORVASTATIN 20MG AT BEDTIME DAILY",NA,2
2129764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-09 15:10:58,"SCM","atorvastatin 80 mg oral tablet","--ATORVASTATIN 80 MG ORAL TABLET",NA,256
65913,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2010-07-28 14:25:54,"SCM",".Nystatin/Zinc Oxide/Hydrocortisone","4000001885073001",15492956,402
66850,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2010-07-28 15:23:00,"SCM",".Rosuvastatin Tablet 10 mg","3000003216073001",15156055,900
2140078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-05-15 14:43:28,"SCM","Crestor 10 mg oral tablet","--CRESTOR 10 MG ORAL TABLET",15156055,191
2140079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-07-01 00:15:00,"SCM","crestor 5 mg","--CRESTOR 5 MG",NA,2
63347,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2010-07-28 15:23:06,"SCM",".Rosuvastatin Tablet 20 mg","2000003216073001",15270665,537
2136080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-05-03 00:15:00,"SCM","crestor 20 daily","--CRESTOR 20 DAILY",NA,3
61767,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2010-07-28 14:23:59,"SCM",".Nystatin Oint 100,000 units/gm","3000001884073001",15155824,307
61781,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2010-07-28 14:25:51,"SCM",".Pravastatin Tablet 10 mg","3000001926073001",15451300,488
64165,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2014-02-21 21:45:14,"SCM",".Nystatin-Triamcinolone Cream","3000004443073001",15167556,40
66007,"Simvastatin","Simvastatin Tab 20 MG","Cardiovascular Agents","Antihyperlipidemic","HMG CoA Reductase Inhibitors","20 MG","Tab",8437,0,NA,NA,NA,"EPIC","ZOCOR 20 MG PO TABS","24225",3000271893,13389
64496,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2010-07-28 14:24:25,"SCM",".Nystatin Pwdr 100,000 units/gm","4000001884073001",3000264517,4044
63788,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2014-02-21 21:45:14,"SCM",".Imipenem-Cilastatin Inj *neo","2000004391073001",15585818,5
64510,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2010-07-28 14:25:54,"SCM",".Pravastatin Tablet 20 mg","4000001926073001",15451301,1551
65184,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2010-07-28 14:25:46,"SCM",".Nystatin/Triamcinolone Oint 30 gm","3000001885073001",15597119,6
58984,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2010-07-29 09:04:09,"SCM",".Sodium Hypochlorite Soln0.13% (1/4 Stg)","2000001990073001",15165958,215
61396,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2010-08-16 13:48:41,"SCM",".Nystatin Vaginal Tablet","2000004443073001",15155823,32
61468,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2010-07-28 13:24:39,"SCM",".Ezetimibe-Simvastatin Tablet 10-20 mg","2000005081073001",3000561661,667
57953,"Cerivastatin Sodium","Cerivastatin Sodium Tab 0.3 MG","Cardiovascular Agents","Antihyperlipidemic","HMG CoA Reductase Inhibitors","0.3 MG","Tab",8437,0,NA,"Deleted",NA,"EPIC","BAYCOL TABS 0.3 MG OR","22055",3000286096,41
60597,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2010-07-28 15:49:48,"SCM",".Simvastatin Tablet 5 mg","2000001983073001",3000271891,143
5501013,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,NA,2014-02-21 21:45:14,"SCM","imipenem and cilastatin IVPB  -","9000010593800730",16640116,26
59319,"Cerivastatin Sodium","Cerivastatin Sodium Tab 0.2 MG","Cardiovascular Agents","Antihyperlipidemic","HMG CoA Reductase Inhibitors","0.2 MG","Tab",8437,0,NA,"Deleted",NA,"EPIC","BAYCOL TABS 0.2 MG OR","22054",3000286095,24
60498,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2010-07-28 14:23:51,"SCM",".Nystatin Oint  (*neo) 100,000 units/gm","2000001884073001",15155824,179
5496017,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,NA,2014-02-21 21:45:14,"SCM","imipenem and cilastatin IVPB -","9000010593900730",16640116,236
58949,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2010-07-28 14:25:38,"SCM",".Nystatin/Triamcinolone Oint 15 gm","2000001885073001",15597119,14
74123,"Multiple Vitamin","Multiple Vitamin Tab","Nutritional Products","Multivitamins","Multivitamins",NA,"Tab",8437,0,NA,"Deleted",NA,"EPIC","VITORMAINS TABS   OR","23791",3000259749,7
75711,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2010-07-28 14:24:34,"SCM",".Nystatin Susp  (*neo)","5000001884073001",15600502,132
73194,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2014-02-21 21:45:14,"SCM",".Nystatin-Triamcinolone Ointment","4000004443073001",15597119,21
5133011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-07-04 00:15:00,"SCM","simvastatin 10 mg daily at bedtime","--SIMVASTATIN 10 MG DAILY AT BEDTIME",NA,2
75088,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2014-02-21 21:45:14,"SCM",".Atorvastatin Tablet 10 mg","5000001568073001",15571542,6922
72541,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2010-08-16 13:47:47,"SCM",".Nystatin Cream","4000004442073001",15598766,770
71663,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2010-08-16 13:48:06,"SCM",".Nystatin Ointment","6000004442073001",15597110,262
74267,"Simvastatin","Simvastatin Tab 10 MG","Cardiovascular Agents","Antihyperlipidemic","HMG CoA Reductase Inhibitors","10 MG","Tab",8437,0,NA,NA,NA,"EPIC","ZOCOR 10 MG PO TABS","24224",3000271892,6004
74268,"Simvastatin","Simvastatin Tab 5 MG","Cardiovascular Agents","Antihyperlipidemic","HMG CoA Reductase Inhibitors","5 MG","Tab",8437,0,NA,NA,NA,"EPIC","ZOCOR 5 MG PO TABS","24227",3000271891,725
68995,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2010-08-16 13:47:53,"SCM",".Nystatin Cream *neo","5000004442073001",15598766,69
4915030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-01-23 12:59:06,"SCM","Simvastatin 10 mg or tabs, 1 tablet at bedtime","--SIMVASTATIN 10 MG OR TABS, 1 TABLET AT BEDTIME",NA,6
68253,NA,NA,NA,"Medication",NA,NA,NA,NA,NA,NA,"Deleted",2010-07-28 07:50:31,"SCM",".Atorvastatin Tablet","4000004298073001",15589358,13752
67497,"Simvastatin","Simvastatin Tab 40 MG","Cardiovascular Agents","Antihyperlipidemic","HMG CoA Reductase Inhibitors","40 MG","Tab",8437,0,NA,NA,NA,"EPIC","ZOCOR 40 MG PO TABS","24226",3000271894,11074
80327,"Imipenem-Cilastatin","Imipenem-Cilastatin Intramuscular For Soln 500 MG","Anti-Infective Agents","Misc. antiinfectives","Carbapenems","500 MG","Recon Soln",8432,0,NA,"Deleted",NA,"EPIC","IMIPENEM-CILASTATIN 500 MG IM SOLR","26261",16340869,8
80328,"Imipenem-Cilastatin","Imipenem-Cilastatin Intravenous For Soln 500 MG","Anti-Infective Agents","Misc. antiinfectives","Carbapenems","500 MG","Recon Soln",8438,0,NA,NA,NA,"EPIC","IMIPENEM-CILASTATIN 500 MG IV SOLR","26264",16340869,44
