PK_MEDICATION_ID,SIMPLE_GENERIC_NAME,GENERIC_NAME,THERAPEUTIC_CLASS,PHARMACY_CLASS,PHARMACY_SUBCLASS,AMOUNT,FORM,FK_ROUTE_ID,CONTROLLED_MED_YN,DEA_CLASS,RECORD_STATE,SOURCE_LAST_UPDATE_DATE,SOURCE_CODE,statin_curation,FULL_NAME,SOURCE_ORIG_ID,FK_3M_NCID_ID,MEDICATION_COUNT
270163,Diphenhyd-Lidocaine-Nystatin,Diphenhydramine-Lidocaine-Nystatin Susp (Cmpd Kit),Topical Products,Mouth & throat (local),Anti-infectives - Throat,NA,Suspension,8436,0,NA,Deleted,NA,EPIC,FALSE,DIPHENHYD-LIDOCAINE-NYSTATIN MOUTH/THROAT SUSP,100646,16433382,38
270164,Diphenhyd-Lidocaine-Nystatin,Diphenhyd-Lidocaine-Nystatin,Topical Products,Mouth & throat (local),Anti-infectives - Throat,NA,NA,8436,NA,NA,Deleted,NA,EPIC,FALSE,DIPHENHYD-LIDOCAINE-NYSTATIN MT,100826,16433381,2
35305,Nystatin,Nystatin Susp 100000 Unit/ML,Topical Products,Mouth & throat (local),Anti-infectives - Throat,100000 UNIT/ML,Suspension,8436,0,NA,Deleted,NA,EPIC,FALSE,MYCOSTATIN 100000 UNIT/ML MT SUSP,14155,15150695,86
34424,Nystatin,NA,Topical Products,Mouth & throat (local),Anti-infectives - Throat,200000 UNIT,Lozenge,8436,0,NA,Deleted,NA,EPIC,FALSE,MYCOSTATIN 200000 UNIT MT LOZG,14154,3000266701,6
80738,Nystatin,Nystatin Susp 100000 Unit/ML,Topical Products,Mouth & throat (local),Anti-infectives - Throat,NA,Suspension,8436,0,NA,Deleted,NA,EPIC,FALSE,MYCOSTATIN MT SUSP,26574,15600502,16
27734,Nystatin,NA,Topical Products,Mouth & throat (local),Anti-infectives - Throat,200000 U,Lozenge,8436,0,NA,Deleted,NA,EPIC,FALSE,NYSTATIN (MOUTH-THROAT) LOZG 200000 U MT,11468,3000266701,85
27483,Nystatin,Nystatin Susp 100000 Unit/ML,Topical Products,Mouth & throat (local),Anti-infectives - Throat,100000 U/ML,Suspension,8436,0,NA,Deleted,NA,EPIC,FALSE,NYSTATIN (MOUTH-THROAT) SUSP 100000 U/ML MT,10924,16402332,1502
25745,Nystatin,NA,Topical Products,Mouth & throat (local),Anti-infectives - Throat,NA,Recon Susp,8436,0,NA,Deleted,NA,EPIC,FALSE,NYSTATIN (MOUTH-THROAT) SUSR   MT,10931,15600502,80
37319,Nystatin,Nystatin Susp 100000 Unit/ML,Topical Products,Mouth & throat (local),Anti-infectives - Throat,100000 UNIT/ML,Suspension,8436,0,NA,NA,NA,EPIC,FALSE,NYSTATIN 100000 UNIT/ML MOUTH/THROAT SUSP,15383,16402332,21178
20193422,NA,Nystatin Susp 100000 Unit/ML,Topical Products,Mouth & throat (local),Anti-infectives - Throat,100000 UNIT/ML,Suspension,8436,0,NA,NA,NA,EPIC,FALSE,NYSTATIN 100000 UNIT/ML MOUTH/THROAT SUSP (NEO/PED-DC),40809810,NA,128
45961,Nystatin,NA,Topical Products,Mouth & throat (local),Anti-infectives - Throat,200000 UNIT,Lozenge,8436,0,NA,Deleted,NA,EPIC,FALSE,NYSTATIN 200000 UNIT MT LOZG,17432,15470050,7
5364604,Nystatin,Nystatin,Topical Products,Mouth & throat (local),Anti-infectives - Throat,NA,NA,8436,NA,NA,NA,NA,EPIC,FALSE,NYSTATIN MOUTH/THROAT,125297,15262325,212
46746,Nystatin,NA,Topical Products,Mouth & throat (local),Anti-infectives - Throat,NA,Recon Susp,8436,0,NA,Deleted,NA,EPIC,FALSE,NYSTATIN SUSR   MT,17433,16531727,19
38455,Nystatin,NA,Topical Products,Mouth & throat (local),Anti-infectives - Throat,100000 U/ML,Recon Susp,8436,0,NA,Deleted,NA,EPIC,FALSE,NYSTATIN SUSR 100000 U/ML MT,15384,3000276834,47
84419,Neomycin-Gramicidin-Nystatin-Triamcinolone,NA,Topical Products,Dermatological,Antibiotics - Topical,NA,Cream,8429,0,NA,Deleted,NA,EPIC,FALSE,NEO-GRAM-NYSTATIN-TRIAM CREA   EX,28964,16433956,10
85339,Neomycin-Gramicidin-Nystatin-Triamcinolone,NA,Topical Products,Dermatological,Antibiotics - Topical,NA,Ointment,8429,0,NA,Deleted,NA,EPIC,FALSE,NEO-GRAM-NYSTATIN-TRIAM OINT   EX,28965,16433957,2
115936,Nystatin,Nystatin Cap 1000000 Unit,Anti-Infective Agents,Antifungals,Antifungals,1000000 units,Cap,8437,0,NA,NA,NA,EPIC,FALSE,BIO-STATIN 1000000 UNITS PO CAPS,41386,3000266689,6
153551,Nystatin,Nystatin,Anti-Infective Agents,Antifungals,Antifungals,NA,NA,8437,NA,NA,Deleted,NA,EPIC,FALSE,BIO-STATIN OR,72700,15262325,9
5350652,Nystatin,Nystatin,Anti-Infective Agents,Antifungals,Antifungals,NA,NA,8437,NA,NA,NA,NA,EPIC,FALSE,BIO-STATIN PO,113722,15262325,25
105107,Nystatin,Nystatin Oral Powder,Anti-Infective Agents,Antifungals,Antifungals,NA,Powder,8437,0,NA,NA,NA,EPIC,FALSE,BIO-STATIN PO POWD,36343,16531966,3
36167,Nystatin,Nystatin Tab 500000 Unit,Anti-Infective Agents,Antifungals,Antifungals,500000 UNIT,Tab,8437,0,NA,Deleted,NA,EPIC,FALSE,MYCOSTATIN 500000 UNIT OR TABS,14156,3000266700,3
115935,Nystatin,Nystatin Cap 1000000 Unit,Anti-Infective Agents,Antifungals,Antifungals,1000000 units,Cap,8437,0,NA,NA,NA,EPIC,FALSE,NYSTATIN 1000000 UNITS PO CAPS,41383,3000266689,138
117383,Nystatin,Nystatin Cap 500000 Unit,Anti-Infective Agents,Antifungals,Antifungals,500000 units,Cap,8437,0,NA,NA,NA,EPIC,FALSE,NYSTATIN 500000 UNITS PO CAPS,40500,3000266691,123
37321,Nystatin,Nystatin Tab 500000 Unit,Anti-Infective Agents,Antifungals,Antifungals,500000 units,Tab,8437,0,NA,NA,NA,EPIC,FALSE,NYSTATIN 500000 UNITS PO TABS,15386,3000266700,196
165037,Nystatin,Nystatin,Anti-Infective Agents,Antifungals,Antifungals,NA,NA,8437,NA,NA,Deleted,NA,EPIC,FALSE,NYSTATIN OR,83158,15262325,111
5360586,Nystatin,Nystatin,Anti-Infective Agents,Antifungals,Antifungals,NA,NA,8437,NA,NA,NA,NA,EPIC,FALSE,NYSTATIN PO,125298,15262325,487
97739,Nystatin,Nystatin Oral Powder,Anti-Infective Agents,Antifungals,Antifungals,NA,Powder,8437,0,NA,Deleted,NA,EPIC,FALSE,NYSTATIN PO POWD,34342,16531966,215
104664,Nystatin,Nystatin Oral Powder,Anti-Infective Agents,Antifungals,Antifungals,NA,Recon Susp,8437,0,NA,Deleted,NA,EPIC,FALSE,NYSTATIN SUSR   OR,36342,16531966,71
35303,Nystatin,Nystatin Cream 100000 Unit/GM,Topical Products,Dermatological,Antifungals - Topical,100000 UNIT/GM,Cream,8429,0,NA,Deleted,NA,EPIC,FALSE,MYCOSTATIN 100000 UNIT/GM EX CREA,14152,15150694,92
34425,Nystatin,Nystatin Topical Powder,Topical Products,Dermatological,Antifungals - Topical,100000 UNIT/GM,Powder,8429,0,NA,Deleted,NA,EPIC,FALSE,MYCOSTATIN 100000 UNIT/GM EX POWD,14157,3000264517,168
161974,Nystatin,Nystatin,Topical Products,Dermatological,Antifungals - Topical,NA,NA,8429,NA,NA,Deleted,NA,EPIC,FALSE,MYCOSTATIN EX,82329,15262326,57
5363823,Nystatin,Nystatin,Topical Products,Dermatological,Antifungals - Topical,NA,NA,8429,NA,NA,NA,NA,EPIC,FALSE,MYCOSTATIN EX,124400,NA,13
2930002,Nystatin & Diaper Rash Product,Nystatin Cream 100000 Unit/GM & Diaper Rash Cream Kit,Topical Products,Dermatological,Antifungals - Topical,100000 UNIT/GM,Kit,8429,0,NA,Deleted,NA,EPIC,FALSE,NYSTATIN & DIAPER RASH PRODUCT 100000 UNIT/GM EX KIT,106266,NA,54
5365641,Nystatin & Diaper Rash Product,Nystatin & Diaper Rash Product,Topical Products,Dermatological,Antifungals - Topical,NA,NA,8429,NA,NA,NA,NA,EPIC,FALSE,NYSTATIN & DIAPER RASH PRODUCT EX,125295,NA,26
2932005,Nystatin & Diaper Rash Product,Nystatin & Diaper Rash Product,Topical Products,Dermatological,Antifungals - Topical,NA,NA,8429,NA,NA,Deleted,NA,EPIC,FALSE,NYSTATIN & DIAPER RASH PRODUCT EX,106427,NA,4
26537,Nystatin,Nystatin Cream 100000 Unit/GM,Topical Products,Dermatological,Antifungals - Topical,100000 UNIT/GM,Cream,8429,0,NA,NA,NA,EPIC,FALSE,NYSTATIN 100000 UNIT/GM EX CREA,10917,15150694,10494
25739,Nystatin,Nystatin Oint 100000 Unit/GM,Topical Products,Dermatological,Antifungals - Topical,100000 UNIT/GM,Ointment,8429,0,NA,NA,NA,EPIC,FALSE,NYSTATIN 100000 UNIT/GM EX OINT,10922,15155824,3153
135565,Nystatin,Nystatin Topical Powder 100000 Unit/GM,Topical Products,Dermatological,Antifungals - Topical,100000 Unit/g,Powder,8429,0,NA,NA,NA,EPIC,FALSE,NYSTATIN 100000 UNIT/GM EX POWD,54730,3000264517,11612
102099,Nystatin,Nystatin (Bulk) Powder,Topical Products,Dermatological,Antifungals - Topical,4.4 MU/GM,Powder,8446,0,NA,Deleted,NA,EPIC,FALSE,NYSTATIN 4.4 MU/GM POWD,35271,16402333,36
5359709,Nystatin,Nystatin,Topical Products,Dermatological,Antifungals - Topical,NA,NA,8429,NA,NA,NA,NA,EPIC,FALSE,NYSTATIN EX,125296,15451655,140
26905,Nystatin,Nystatin Topical Powder,Topical Products,Dermatological,Antifungals - Topical,NA,Powder,8429,0,NA,Deleted,NA,EPIC,FALSE,NYSTATIN EX POWD,11470,15451655,1383
38458,Nystatin,Nystatin (Bulk) Powder,Topical Products,Dermatological,Antifungals - Topical,6 MU/GM,Powder,8446,0,NA,Deleted,NA,EPIC,FALSE,NYSTATIN POWD 6 MU/GM,15387,16531679,10
39400,Nystatin,Nystatin (Bulk) Powder,Topical Products,Dermatological,Antifungals - Topical,6.25 MU/GM,Powder,8446,0,NA,Deleted,NA,EPIC,FALSE,NYSTATIN POWD 6.25 MU/GM,15388,16531672,9
38464,Nystatin-Triamcinolone,Nystatin-Triamcinolone Cream 100000-0.1 Unit/GM-%,Topical Products,Dermatological,Antifungals - Topical,100000-0.1 UNIT/GM-%,Cream,8429,0,NA,NA,NA,EPIC,FALSE,NYSTATIN-TRIAMCINOLONE 100000-0.1 UNIT/GM-% EX CREA,15393,16434055,9871
39406,Nystatin-Triamcinolone,Nystatin-Triamcinolone Oint 100000-0.1 Unit/GM-%,Topical Products,Dermatological,Antifungals - Topical,100000-0.1 UNIT/GM-%,Ointment,8429,0,NA,NA,NA,EPIC,FALSE,NYSTATIN-TRIAMCINOLONE 100000-0.1 UNIT/GM-% EX OINT,15394,16434056,4349
164251,Nystatin-Triamcinolone,Nystatin-Triamcinolone,Topical Products,Dermatological,Antifungals - Topical,NA,NA,8429,NA,NA,Deleted,NA,EPIC,FALSE,NYSTATIN-TRIAMCINOLONE EX,83160,15261799,92
5360644,Nystatin-Triamcinolone,Nystatin-Triamcinolone,Topical Products,Dermatological,Antifungals - Topical,NA,NA,8429,NA,NA,NA,NA,EPIC,FALSE,NYSTATIN-TRIAMCINOLONE EX,125300,15261799,109
84650,Nystatin-Triamcinolone,Nystatin-Triamcinolone Oint 100000-0.1 Unit/GM-%,Topical Products,Dermatological,Antifungals - Topical,NA,Ointment,8429,0,NA,Deleted,NA,EPIC,FALSE,NYSTATIN-TRIAMCINOLONE OINT   EX,29199,15597119,46
30175,Cladribine,Cladribine Inj 1 MG/ML,Antineoplastic Agents,Antineoplastics,Antimetabolites,1 MG/ML,Solution,8438,0,NA,Deleted,NA,EPIC,FALSE,LEUSTATIN 1 MG/ML IV SOLN,11965,15168589,2
79408,Nystatin,Nystatin (Bulk) Powder,Miscellaneous Products,Chemicals,Bulk Chemicals - N's,NA,Powder,8446,0,NA,Deleted,NA,EPIC,FALSE,NYSTATIN DOMESTIC POWD,26368,16402333,79
30023,Nystatin,Nystatin (Bulk) Powder,Miscellaneous Products,Chemicals,Bulk Chemicals - N's,NA,Powder,8446,0,NA,NA,NA,EPIC,FALSE,NYSTATIN POWD,11735,16402333,1178
96510,Calcium-Magnesium,Calcium w/ Magnesium Cap 70-83.5 MG,Nutritional Products,Minerals & electrolytes,Calcium,70-83.5 MG,Cap,8437,0,NA,Deleted,NA,EPIC,FALSE,CAL-MAG/CHELA-MAX 70-83.5 MG PO CAPS,33266,3000504709,2
4660014,Calcium-Magnesium-Zinc,Calcium-Magnesium-Zinc Tab 334-134-5 MG,Nutritional Products,Minerals & electrolytes,Calcium,334-134-5 MG,Tab,8437,0,NA,NA,NA,EPIC,FALSE,CALCIUM-MAGNESIUM-ZINC 334-134-5 MG PO TABS,109530,NA,7
79373,Imipenem-Cilastatin,Imipenem-Cilastatin Intravenous For Soln 250 MG,Anti-Infective Agents,Misc. antiinfectives,Carbapenems,250 MG,Recon Soln,8438,0,NA,NA,NA,EPIC,FALSE,IMIPENEM-CILASTATIN 250 MG IV SOLR,26263,16433178,11
80327,Imipenem-Cilastatin,Imipenem-Cilastatin Intramuscular For Soln 500 MG,Anti-Infective Agents,Misc. antiinfectives,Carbapenems,500 MG,Recon Soln,8432,0,NA,Deleted,NA,EPIC,FALSE,IMIPENEM-CILASTATIN 500 MG IM SOLR,26261,16340869,8
80328,Imipenem-Cilastatin,Imipenem-Cilastatin Intravenous For Soln 500 MG,Anti-Infective Agents,Misc. antiinfectives,Carbapenems,500 MG,Recon Soln,8438,0,NA,NA,NA,EPIC,FALSE,IMIPENEM-CILASTATIN 500 MG IV SOLR,26264,16340869,44
159920,Imipenem-Cilastatin,Imipenem-Cilastatin,Anti-Infective Agents,Misc. antiinfectives,Carbapenems,NA,NA,8432,NA,NA,Deleted,NA,EPIC,FALSE,IMIPENEM-CILASTATIN IV,79807,NA,5
5361148,Imipenem-Cilastatin,Imipenem-Cilastatin,Anti-Infective Agents,Misc. antiinfectives,Carbapenems,NA,NA,8438,NA,NA,NA,NA,EPIC,FALSE,IMIPENEM-CILASTATIN IV,121524,NA,6
9690108,Dietary Management Product,Dietary Management Product,Nutritional Products,Dietary products,Dietary Management Products,NA,NA,8437,NA,NA,NA,NA,EPIC,FALSE,LIPICHOL 540 PO,144353,NA,4
150465,Hyaluronate Sodium (Emollient),Hyaluronate Sodium (Emollient) Lotion 0.1%,Topical Products,Dermatological,Emollients,0.10%,Lotion,8429,0,NA,NA,NA,EPIC,FALSE,HYALURONATE SODIUM (EMOLLIENT) 0.1 % EX LOTN,69442,NA,3
2128112,NA,NA,Miscellaneous Products,Mouth & throat (local),Misc. Topical,NA,NA,8437,NA,NA,NA,NA,EPIC,FALSE,PRESBY SWIZZLE: CARAFATE XYLOCAINE NYSTATIN BENADRYL MAALOX,100142,NA,242
74123,Multiple Vitamin,Multiple Vitamin Tab,Nutritional Products,Multivitamins,Multivitamins,NA,Tab,8437,0,NA,Deleted,NA,EPIC,FALSE,VITORMAINS TABS   OR,23791,3000259749,7
50690,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,7/27/10 19:13,SCM,FALSE,..Nystatin Powder,1E+15,15451655,728
87161,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,2/21/14 21:45,SCM,FALSE,.Amlodipine Tablet,6E+15,15589351,5727
50772,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,7/28/10 7:08,SCM,FALSE,.Amlodipine Tablet.,1.00001E+15,15589351,4493
84108,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,7/28/10 11:17,SCM,FALSE,.Imipenem & Cilastatin Inj (*neo),6E+15,15585818,6
50473,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,2/21/14 21:45,SCM,FALSE,.Imipenem-Cilastatin Inj,1E+15,15585818,178
63788,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,2/21/14 21:45,SCM,FALSE,.Imipenem-Cilastatin Inj *neo,2E+15,15585818,5
42641,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,8/16/10 13:44,SCM,FALSE,.Niacin Tablet SR,4437073001,15464209,820
72541,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,8/16/10 13:47,SCM,FALSE,.Nystatin Cream,4E+15,15598766,770
68995,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,8/16/10 13:47,SCM,FALSE,.Nystatin Cream *neo,5E+15,15598766,69
40033,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,7/28/10 14:23,SCM,FALSE,".Nystatin Crm  (*neo) 100,000 units/gm",1884073001,15150694,131
43214,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,7/28/10 14:23,SCM,FALSE,".Nystatin Crm 100,000 units/gm",1E+15,15150694,1780
60498,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,7/28/10 14:23,SCM,FALSE,".Nystatin Oint  (*neo) 100,000 units/gm",2E+15,15155824,179
61767,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,7/28/10 14:23,SCM,FALSE,".Nystatin Oint 100,000 units/gm",3E+15,15155824,307
71663,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,8/16/10 13:48,SCM,FALSE,.Nystatin Ointment,6E+15,15597110,262
107271,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,8/16/10 13:48,SCM,FALSE,.Nystatin Ointment *neo,7E+15,15597110,109
121465,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,7/1/11 11:55,SCM,FALSE,.nystatin oral lozenge -,9.00001E+15,15604185,2
113221,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,8/16/10 13:48,SCM,FALSE,.Nystatin Oral Suspension,8E+15,15600502,1076
109275,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,8/16/10 13:48,SCM,FALSE,.Nystatin Oral Suspension *neo,9E+15,15600502,51
48154,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,8/16/10 13:48,SCM,FALSE,.Nystatin Oral Tablet,1E+15,15454778,9
42643,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,11/14/11 15:14,SCM,FALSE,.Nystatin Powder,4443073001,15451655,12
64496,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,7/28/10 14:24,SCM,FALSE,".Nystatin Pwdr 100,000 units/gm",4E+15,3000264517,4044
75711,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,7/28/10 14:24,SCM,FALSE,.Nystatin Susp  (*neo),5E+15,15600502,132
84210,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,7/28/10 14:24,SCM,FALSE,".Nystatin Susp 500,000 units / 5 mL",6E+15,16402332,3278
104182,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,7/28/10 14:24,SCM,FALSE,".Nystatin Suspension, 100,000 units/mL",7E+15,16402332,2931
108023,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,7/28/10 14:24,SCM,FALSE,".Nystatin Tablet 500,000Unit",8E+15,3000266700,49
61396,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,8/16/10 13:48,SCM,FALSE,.Nystatin Vaginal Tablet,2E+15,15155823,32
123208,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,2/21/14 21:45,SCM,FALSE,.nystatin vaginal tablet -,9.00001E+15,15155823,45
43602,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,7/28/10 14:25,SCM,FALSE,".Nystatin Vaginal Tablet 100,000 units",1E+15,3000264265,57
64165,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,2/21/14 21:45,SCM,FALSE,.Nystatin-Triamcinolone Cream,3E+15,15167556,40
73194,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,2/21/14 21:45,SCM,FALSE,.Nystatin-Triamcinolone Ointment,4E+15,15597119,21
38990,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,7/28/10 14:25,SCM,FALSE,.Nystatin/Triamcinolone Crm 15 gm,1885073001,15167556,58
44982,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,7/28/10 14:25,SCM,FALSE,.Nystatin/Triamcinolone Crm 30 gm,1E+15,15167556,47
58949,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,7/28/10 14:25,SCM,FALSE,.Nystatin/Triamcinolone Oint 15 gm,2E+15,15597119,14
65184,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,7/28/10 14:25,SCM,FALSE,.Nystatin/Triamcinolone Oint 30 gm,3E+15,15597119,6
65913,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,7/28/10 14:25,SCM,FALSE,.Nystatin/Zinc Oxide/Hydrocortisone,4E+15,15492956,402
58984,NA,NA,NA,Medication,NA,NA,NA,NA,NA,NA,Deleted,7/29/10 9:04,SCM,FALSE,.Sodium Hypochlorite Soln0.13% (1/4 Stg),2E+15,15165958,215
14291990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EPIC,FALSE,BACITRACIN-SILVER SULFADIAZINE-NYSTATIN OINTMENT,4080080,NA,6
19008378,NA,NA,NA,NA,NA,NA,Cream,8429,NA,NA,NA,NA,EPIC,FALSE,BETAMETHASONE/BACTROBAN/NYSTATIN CREAM - ORD,40803211,NA,13
2167249,nystatin,nystatin 1000000 units capsule,NA,NA,NA,1000000 units,capsule,10700,NA,NA,Active,1/22/13 0:15,SCM,FALSE,"Bio-Statin 1,000,000 units oral capsule","193-4514-BIO-STATIN 1,000,000 UNITS ORAL CAPSULE",3000266689,3
2179927,nystatin,nystatin 150000000 units powder,NA,NA,NA,150000000 units,powder,10910,NA,NA,Active,10/6/13 12:37,SCM,FALSE,"Bio-Statin 150,000,000 units compounding powder","193-210-BIO-STATIN 150,000,000 UNITS COMPOUNDING POWDER",3000287922,5
2178936,nystatin,nystatin 2000000000 units powder,NA,NA,NA,2000000000 units,powder,10910,NA,NA,Active,12/15/13 0:15,SCM,FALSE,"Bio-Statin 2,000,000,000 units compounding powder","193-211-BIO-STATIN 2,000,000,000 UNITS COMPOUNDING POWDER",16533903,2
2167250,nystatin,nystatin 500000 units capsule,NA,NA,NA,500000 units,capsule,10700,NA,NA,Active,3/9/16 16:25,SCM,FALSE,"Bio-Statin 500,000 units oral capsule","193-4517-BIO-STATIN 500,000 UNITS ORAL CAPSULE",3000266691,4
23679058,NA,NA,NA,Antineoplastics,NA,NA,NA,NA,NA,NA,NA,NA,EPIC,FALSE,CLADRIBINE (LEUSTATIN) IVPB 500ML NSS (10MG VIAL),1150100549,NA,12
2127099,NA,NA,NA,Antineoplastics,NA,NA,NA,NA,NA,NA,Deleted,NA,EPIC,FALSE,CLADRIBINE (LEUSTATIN) IVPB 500ML NSS (10MG VIAL) (DELETED),900920,15586091,37
2876017,diphenhydrAMINE/lidocaine/nystatin topical,diphenhydrAMINE/lidocaine/nystatin topical 0.2 g-1.6 g-1.6 g/237 mL suspension,NA,NA,NA,0.2 g-1.6 g-1.6 g/237 mL,suspension,10683,NA,NA,Active,6/28/15 10:22,SCM,FALSE,diphenhydrAMINE/lidocaine/nystatin 0.2 g-1.6 g-1.6 g/237 mL mucous membrane suspension,2800-10047-DIPHENHYDRAMINE/LIDOCAINE/NYSTATIN 0.2 G-1.6 G-1.6 G/237 ML MUCOUS MEMBRANE SUSPENSION,16638974,9
6563034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/15/14 11:10,SCM,FALSE,Greer's Goo (nystatin/zinc/hydrocortisone topical),--GREER'S GOO (NYSTATIN/ZINC/HYDROCORTISONE TOPICAL),16637458,3
4010010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/2/14 15:51,SCM,FALSE,Greer's Goo (nystatin/zinc/hydrocortisone),--GREER'S GOO (NYSTATIN/ZINC/HYDROCORTISONE),16434433,3
16014020,NA,NA,NA,NA,NA,1/1/1/1,Suspension,8437,NA,NA,NA,NA,EPIC,FALSE,HH-MAGIC MOUTHWASH NF/NYSTATIN 1/1/1/1 PO SUSPENSION,40805470,NA,5
