pmc,,mask,high,
po,oral,,high,
po caps,oral capsule,,high,
po cpdr,delayed release oral capsule,,high,
po soln,oral solution,,high,
po susp,oral suspension,,high,
po susr,oral suspension,,high,
po tab sr,extended release oral tablet,,high,
po tabs,oral tablet,,high,
po tbcr,extended release oral tablet,,high,
po tbdp,Disintegrating Oral Tablet,mask,high,Acetaminophen 160 MG Disintegrating Oral Tablet [RxCUI = 477282]
po tbec,delayed release oral tablet,,high,
powd,powder,,high,
ppmc,,mask,high,
prn,,mask,high,
pste,paste,,high,
push,,mask,high,
rad001,,mask,high,
re supp,rectal suppository,,high,
recombinate,recombinant,,high,
record,,mask,high,
rtu,,mask,high,
sav-on,,mask,high,
sc soln,injectable solution,,high,
sham,shampoo,,high,
simeth,simethicone,,high,
solr,solution,,high,
sq,,mask,high,
stroke,,mask,high,
strp,strip,,high,
subl,sublingual,,high,
supp,suppository,,high,
susp,suspension,,high,
syrp,syrup,,high,
tab sr,Extended Release Oral Tablet,,high,mag-tab!
tabs,tablet,,high,
tb12,12 hr tablet,,high,
tbcr,extended release oral tablet,,high,
tbec,tablet delayed release,,high,
tgt,,mask,high,
tpa,tissue plasminogen activator,,high,
v-fib,,mask,high,
va,vaginal,,high,
vasodilator,,mask,high,
wrapper,,mask,high,
/inh nasal spray,/actuat nasal spray,,low,
adapter,,mask,low,
adult,,mask,low,
aerosol,,,low,
af,,mask,low,
buffered,,mask,low,
cal,calcium,,low,
calci-chew,calcium carbonate,,low,
children,,mask,low,
chondroitin sulfate,chondroitin sulfates,,low,
co q-10,co-enzyme q-10,,low,
comfort,,mask,low,
compounding,,mask,low,
cvs,,mask,low,
del,,mask,low,delayed?
dose,,mask,low,
drops,,mask,low,
dye free,,mask,low,
dye-free,,mask,low,
ec,,,low,
elemental,,mask,low,
er,extended release,,low,
ex,external,,low,
extra,,,low,
for,,mask,low,
formula,,mask,low,
gnp,,mask,low,
goodsense,,mask,low,
hbr,hydrobromide,,low,
hcl,hydrochloride,,low,
hctz,hydrochlorothiazide,,low,
high potency,,mask,low,
high-potency,high potency,,low,
hour,hr,,low,
hours,hr,,low,
human,,mask,low,
infants,,,low,
inhalation aerosol,inhaler,,low,
inj,injectable solution,,low,
injection,injectable solution,,low,
injection kit,injectable solution,,low,
injection_,injectable,,low,shouldn't be any underscores left
intl,international,,low,
intradermal,,mask,low,
intramuscular,,mask,low,
intraocular,,mask,low,
intrapleural,,mask,low,
intrathecal,,mask,low,
intravenous,injectable,,low,
iu,unt,,low,
iv,injectable solution,,low,
la,,mask,low,
laxative,,mask,low,
liquid,oral liquid product,,low,
mag,magnesium,,low,
maintenance,,mask,low,
metoprolol xl,metoprolol,,low,
mg tablet,mg oral tablet,,low,
mt,,,low,
natural,,mask,low,
nature,,mask,low,
neonate,,mask,low,substitue infant?
nitrostat,nitroglycerin,,low,
nodrip,,mask,low,
non-addvantage,,mask,low,Advantage is in corpus
odt,orally dissolving tablet,,low,
oral liquid,oral liquid product,,low,
osmotic,,mask,low,
otc,,mask,low,
oxycodone ir,oxycodone,,low,
oyst,oyster,,low,
oyst cal,calcium carbonate,,low,
pack,,mask,low,
packet,,mask,low,
ped,,mask,low,
pediatric,,mask,low,
pf,,mask,low,
pot,potassium,,low,
presevative free,,mask,low,
pump,,mask,low,
recombinant,,mask,low,
reg,regular,,low,
relief,,,low,
sailne,,mask,low,
skn tst antgn soln,allergenic extract injectable solution,,low,
smz,sulfamethoxazole,,low,
spray,actuat,,low,
sr,extended release,,low,
standard,,mask,low,see also PCEA Non-Standard Dose etc.
standardization,,mask,low,
super b,vitamin b,,low,
susr,suspension,,low,trust PDS generic name?
td,transdermal,,low,
timed release,extended release,,low,
urocit-k,k+ citrate,,low,
vit,vitamin,,low,
with,,mask,low,
600mg,600 mg,,medium,see regex generalization
81mg,81 mg,,medium,
add-vantage,,mask,medium,
aers,aerosol,,medium,
al,aluminum,,medium,
albertsons,,mask,medium,
all,,mask,medium,
aspir,aspirin,,medium,
bag,,mask,medium,
caffein,caffeine,,medium,
cap,capsule,,medium,
chew,chewable,,medium,
conc,,mask,medium,
coumpound,,mask,medium,
crea,topical cream,,medium,
diluent,,mask,medium,
drip,,mask,medium,
ex str,extra strength,,medium,
extr,extract,,medium,
fa,folic acid,,medium,
fe,iron,,medium,see also contraceptives?
flush,,mask,medium,
from,,mask,medium,
hydroxideoral,hydroxide oral,,medium,
ij,injectable solution,,medium,
inh,inhalation,,medium,"ambiguous (solution?) or inhaler, metered dose inhaler…"
k-dur,potassium chloride,,medium,
long acting,extended release,,medium,
mag-caps,magnesium oxide,,medium,
manage,,mask,medium,
max str,,mask,medium,
mouth,,mask,medium,
mouth/throat lozenge,oral lozenge,,medium,
mouth/throat lozg,oral lozenge,,medium,
msir,morphine sulfate immediate release,,medium,
neo,,mask,medium,(*neo)
neutral,,mask,medium,
normal,,mask,medium,
ppd,purified protein derivative,,medium,
premixed,,mask,medium,
pskt,prefilled syringe kit,,medium,
psych,,mask,medium,
q,,mask,medium,
ra,,mask,medium,
sc,subcutaneous,,medium,
sc kit,subcutaneous,,medium,
sheet,,mask,medium,
sl,sublingual tablet,,medium,
sleep,,mask,medium,
super strength,,mask,medium,
swfi,,mask,medium,
ut,unt,,medium,
vial,,,medium,NSS (2G VIAL)*
nac,acetylcysteine,,medum,
